Date,Reviews,Time (milliseconds),Time (seconds),Time (hours)
2023-11-15,55,869768,869.768,0.24160222222222222
2023-11-16,66,1237679,1237.679,0.34379972222222227
2023-11-17,73,1377087,1377.087,0.38252416666666667
2023-11-18,101,1607306,1607.306,0.4464738888888889
2023-11-19,126,1754063,1754.063,0.4872397222222222
2023-11-20,134,1467494,1467.494,0.4076372222222222
2023-11-21,223,2319681,2319.681,0.6443558333333333
2023-11-22,207,1651217,1651.217,0.4586713888888889
2023-11-23,220,2085533,2085.533,0.5793147222222222
2023-11-24,190,1725745,1725.745,0.4793736111111111
2023-11-25,204,1702107,1702.107,0.4728075
2023-11-27,518,3554756,3554.756,0.9874322222222222
2023-11-28,461,3581890,3581.89,0.9949694444444445
2023-11-29,367,2966898,2966.898,0.8241383333333334
2023-11-30,381,3230935,3230.935,0.8974819444444444
2023-12-01,398,3018468,3018.468,0.8384633333333333
2023-12-02,373,2622779,2622.779,0.7285497222222223
2023-12-03,394,2851673,2851.673,0.7921313888888888
2023-12-04,404,2879728,2879.728,0.7999244444444444
2023-12-06,570,3869211,3869.211,1.0747808333333333
2023-12-07,446,3024980,3024.98,0.8402722222222222
2023-12-08,325,2780122,2780.122,0.772256111111111
2023-12-09,105,625549,625.549,0.1737636111111111
2023-12-10,396,2564415,2564.415,0.7123375
2023-12-11,414,2832468,2832.468,0.7867966666666666
2023-12-14,846,4910199,4910.199,1.3639441666666665
2023-12-15,101,781936,781.936,0.21720444444444445
2023-12-16,744,4412253,4412.253,1.2256258333333332
2023-12-17,314,2215379,2215.379,0.6153830555555555
2023-12-18,1085,7660934,7660.934,2.1280372222222224
2023-12-21,674,3927401,3927.401,1.0909447222222222
2023-12-22,487,2524068,2524.068,0.70113
2023-12-24,621,3153418,3153.418,0.8759494444444444
2023-12-25,511,2945932,2945.932,0.8183144444444443
2023-12-26,496,3352495,3352.495,0.9312486111111111
2023-12-27,401,2128296,2128.296,0.5911933333333332
2023-12-28,431,2430441,2430.441,0.6751225
2023-12-29,457,2685940,2685.94,0.7460944444444445
2023-12-30,497,2948462,2948.462,0.8190172222222222
2024-01-01,675,3983163,3983.163,1.1064341666666666
2024-01-02,6,33085,33.085,0.009190277777777778
2024-01-03,699,3779841,3779.841,1.0499558333333332
2024-01-04,508,3193467,3193.467,0.8870741666666667
2024-01-05,602,3244822,3244.822,0.9013394444444445
2024-01-06,665,3680462,3680.462,1.0223505555555557
2024-01-07,702,3274459,3274.459,0.9095719444444444
2024-01-08,683,3276858,3276.858,0.9102383333333334
2024-01-12,268,1658189,1658.189,0.46060805555555556
2024-01-13,1520,6812786,6812.786,1.8924405555555557
LMAO
